ANIO,MES,DIA,CODIGO,TOT_VEH_PAG,TOT_VEH_EXON,SENT_COBRO,FLUJO_VEH
2019,1,1,A1,677,9,0,0
2019,1,2,A1,"1,357",7,0,0
2019,1,3,A1,"1,747",10,0,0
2019,1,4,A1,"1,719",13,0,0
2019,1,5,A1,"1,619",14,0,0
2019,1,6,A1,"1,363",17,0,0
2019,1,7,A1,"1,483",17,0,0
2019,1,8,A1,"1,520",12,0,0
2019,1,9,A1,"1,553",9,0,0
2019,1,10,A1,"1,686",12,0,0
2019,1,11,A1,"1,716",11,0,0
2019,1,12,A1,"1,611",16,0,0
2019,1,13,A1,"1,265",11,0,0
2019,1,14,A1,"1,550",17,0,0
2019,1,15,A1,"1,476",11,0,0
2019,1,16,A1,"1,573",14,0,0
2019,1,17,A1,"1,643",34,0,0
2019,1,18,A1,"1,694",15,0,0
2019,1,19,A1,"1,594",12,0,0
2019,1,20,A1,"1,180",13,0,0
2019,1,21,A1,"1,434",8,0,0
2019,1,22,A1,"1,511",7,0,0
2019,1,23,A1,"1,430",11,0,0
2019,1,24,A1,"1,595",13,0,0
2019,1,25,A1,"1,659",11,0,0
2019,1,26,A1,"1,539",16,0,0
2019,1,27,A1,"1,162",11,0,0
2019,1,28,A1,"1,446",11,0,0
2019,1,29,A1,"1,375",14,0,0
2019,1,30,A1,"1,477",15,0,0
2019,1,31,A1,"1,514",15,0,0
2019,2,1,A1,"1,632",8,0,0
2019,2,2,A1,"1,537",10,0,0
2019,2,3,A1,"1,290",10,0,0
2019,2,4,A1,"1,500",8,0,0
2019,2,5,A1,"1,424",14,0,0
2019,2,6,A1,"1,551",15,0,0
2019,2,7,A1,"1,555",11,0,0
2019,2,8,A1,"1,630",21,0,0
2019,2,9,A1,"1,494",12,0,0
2019,2,10,A1,"1,224",16,0,0
2019,2,11,A1,"1,480",13,0,0
2019,2,12,A1,"1,424",19,0,0
2019,2,13,A1,"1,558",15,0,0
2019,2,14,A1,"1,545",15,0,0
2019,2,15,A1,"1,604",11,0,0
2019,2,16,A1,"1,500",8,0,0
2019,2,17,A1,"1,487",16,0,0
2019,2,18,A1,"1,185",14,0,0
2019,2,19,A1,"1,117",6,0,0
2019,2,20,A1,"1,230",4,0,0
2019,2,21,A1,"1,279",5,0,0
2019,2,22,A1,"1,280",7,0,0
2019,2,23,A1,"1,211",7,0,0
2019,2,24,A1,"1,078",7,0,0
2019,2,25,A1,"1,403",7,0,0
2019,2,26,A1,"1,497",7,0,0
2019,2,27,A1,"1,486",14,0,0
2019,2,28,A1,"1,494",6,0,0
2019,3,1,A1,"1,508",6,0,0
2019,3,2,A1,"1,369",12,0,0
2019,3,3,A1,"1,054",8,0,0
2019,3,4,A1,"1,361",7,0,0
2019,3,5,A1,"1,409",14,0,0
2019,3,6,A1,"1,412",12,0,0
2019,3,7,A1,"1,373",13,0,0
2019,3,8,A1,"1,390",13,0,0
2019,3,9,A1,"1,396",9,0,0
2019,3,10,A1,"1,074",15,0,0
2019,3,11,A1,"1,300",17,0,0
2019,3,12,A1,"1,337",35,0,0
2019,3,13,A1,"1,411",13,0,0
2019,3,14,A1,"1,433",8,0,0
2019,3,15,A1,"1,439",11,0,0
2019,3,16,A1,"1,403",10,0,0
2019,3,17,A1,"1,171",16,0,0
2019,3,18,A1,"1,344",12,0,0
2019,3,19,A1,"1,254",12,0,0
2019,3,20,A1,"1,358",7,0,0
2019,3,21,A1,"1,406",11,0,0
2019,3,22,A1,"1,443",18,0,0
2019,3,23,A1,"1,342",8,0,0
2019,3,24,A1,"1,058",7,0,0
2019,3,25,A1,"1,223",14,0,0
2019,3,26,A1,"1,238",8,0,0
2019,3,27,A1,"1,292",10,0,0
2019,3,28,A1,"1,357",12,0,0
2019,3,29,A1,"1,391",10,0,0
2019,3,30,A1,"1,330",14,0,0
2019,3,31,A1,"1,054",3,0,0
2019,4,1,A1,"1,236",9,0,0
2019,4,2,A1,"1,201",9,0,0
2019,4,3,A1,"1,263",14,0,0
2019,4,4,A1,"1,332",6,0,0
2019,4,5,A1,"1,333",8,0,0
2019,4,6,A1,"1,261",13,0,0
2019,4,7,A1,996,11,0,0
2019,4,8,A1,"1,189",11,0,0
2019,4,9,A1,"1,230",7,0,0
2019,4,10,A1,"1,323",18,0,0
2019,4,11,A1,"1,342",15,0,0
